#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
28.html|ruben-dias|25|1.87|droit|Portugal|Défenseur central|Manchester City|premier-league| 2027|75|75|71.60 |0|0|44|2
465.html|pablo-sarabia|30|1.74|gauche|Espagne|Ailier droit|Wolverhampton Wanderers|premier-league| 2025|20|40|29.00 |0|0|26|9
127.html|rodrigo-bentancur|25|1.87|droit|Uruguay|Milieu central|Tottenham Hotspur|premier-league| 2026|40|50|40.70 |0|0|54|1
432.html|taiwo-awoniyi|25|1.83|droit|Nigeria|Avant-centre|Nottingham Forest|premier-league| 2027|20|20|30.65 |0|0|4|1
90.html|pau-torres|26|1.91|gauche|Espagne|Défenseur central|Villarreal CF|laliga| 2024|50|50|0.00|0|0|23|1
299.html|callum-hudson-odoi|22|1.77|droit|Angleterre|Ailier gauche|Bayer 04 Leverkusen|bundesliga| 2023|25|35|0.00|0|1|3|0
333.html|antoine-griezmann|31|1.76|gauche|France|Deuxième attaquant|Atlético de Madrid|laliga| 2023|25|150|180.00 |1|0|117|42
276.html|nico-williams|20|1.81|droit|Espagne|Ailier droit|Athletic Bilbao|laliga| 2024|25|25|0.00|0|0|7|1
364.html|lovro-majer|25|1.78|gauche|Croatie|Milieu offensif|Stade Rennais FC|ligue-1| 2027|22|22|14.50 |0|0|18|4
221.html|teun-koopmeiners|24|1.83|gauche|Pays-Bas|Milieu défensif|Atalanta BC|serie-a| 2025|30|30|14.00 |0|0|15|1
50.html|gabriel-martinelli|21|1.78|droit|Brésil|Ailier gauche|FC Arsenal|premier-league| 2027|60|60|7.10 |0|0|6|0
108.html|jurrien-timber|21|1.82|droit|Pays-Bas|Défenseur central|Ajax Amsterdam|eredivisie| 2025|45|45|0.00|0|0|14|0
372.html|caglar-soyuncu|26|1.87|droit|Turquie|Défenseur central|Leicester City|premier-league| 2023|22|45|29.03 |0|0|51|2
237.html|andreas-christensen|26|1.87|droit|Danemark|Défenseur central|FC Barcelone|laliga| 2026|30|40|0.00|0|1|62|3
46.html|heung-min-son|30|1.84|ambidextre|Corée du Sud|Ailier gauche|Tottenham Hotspur|premier-league| 2025|70|90|42.50 |0|0|108|35
325.html|alex-remiro|27|1.91|droit|Espagne|Gardien de but|Real Sociedad|laliga| 2027|25|25|0.00|0|0|0|0
260.html|timothy-castagne|27|1.85|droit|Belgique|Arrière droit|Leicester City|premier-league| 2025|28|28|27.40 |0|0|29|2
11.html|harry-kane|29|1.88|droit|Angleterre|Avant-centre|Tottenham Hotspur|premier-league| 2024|90|150|0.00|0|0|80|53
149.html|emile-smith-rowe|22|1.82|droit|Angleterre|Milieu offensif|FC Arsenal|premier-league| 2026|38|40|1.00 |0|0|3|1
427.html|andrea-pinamonti|23|1.85|droit|Italie|Avant-centre|US Sassuolo|serie-a| 2027|20|20|61.00 |0|0|1|0
1.html|erling-haaland|22|1.95|gauche|Norvège|Avant-centre|Manchester City|premier-league| 2027|170|170|88.10 |0|0|23|21
85.html|lisandro-martinez|25|1.75|gauche|Argentine|Défenseur central|Manchester United|premier-league| 2027|50|50|65.10 |1|0|15|0
132.html|wilfred-ndidi|26|1.83|droit|Nigeria|Milieu défensif|Leicester City|premier-league| 2024|40|60|17.78 |0|0|47|0
309.html|merih-demiral|24|1.90|droit|Turquie|Défenseur central|Atalanta BC|serie-a| 2026|25|30|52.95 |0|0|35|2
470.html|vanderson|21|1.73|droit|Brésil|Arrière droit|AS Monaco|ligue-1| 2027|18|18|11.00 |0|0||
165.html|douglas-luiz|24|1.77|droit|Brésil|Milieu central|Aston Villa|premier-league| 2026|35|38|28.80 |0|0|9|0
466.html|sergio-canales|32|1.78|gauche|Espagne|Milieu offensif|Real Betis Balompié|laliga| 2026|20|25|19.00 |0|0|10|1
489.html|manor-solomon|23|1.70|droit|Israël|Ailier gauche|FC Fulham|premier-league| 2023|18|20|6.00 |0|0|31|6
173.html|diogo-costa|23|1.86|droit|Portugal|Gardien de but|FC Porto|liga-portugal| 2027|35|35|0.00|0|0|11|0
348.html|destiny-udogie|20|1.88|gauche|Italie|Arrière gauche|Udinese Calcio|serie-a| 2023|22|22|22.00 |0|0|6|0
93.html|alexander-isak|23|1.92|droit|Suède|Avant-centre|Newcastle United|premier-league| 2028|50|50|93.60 |0|0|37|9
431.html|david-garcia|29|1.86|ambidextre|Espagne|Défenseur central|CA Osasuna|laliga| 2026|20|20|0.00|0|0||
124.html|benoit-badiashile|21|1.94|gauche|France|Défenseur central|Chelsea FC|premier-league| 2030|40|40|38.00 |0|0|2|0
153.html|christian-pulisic|24|1.77|droit|États-Unis|Ailier droit|Chelsea FC|premier-league| 2024|38|60|64.00 |0|1|56|22
446.html|daniel-podence|27|1.65|droit|Portugal|Ailier gauche|Wolverhampton Wanderers|premier-league| 2024|20|25|26.60 |0|0|1|0
295.html|jack-harrison|26|1.75|gauche|Angleterre|Ailier gauche|Leeds United|premier-league| 2024|25|28|16.80 |0|0|2|0
104.html|matheus-nunes|24|1.83|droit|Portugal|Milieu central|Wolverhampton Wanderers|premier-league| 2027|45|45|45.95 |0|0|11|1
411.html|caio-henrique|25|1.78|gauche|Brésil|Arrière gauche|AS Monaco|ligue-1| 2027|20|20|8.80 |0|0|11|0
368.html|trevoh-chalobah|23|1.92|droit|Angleterre|Défenseur central|Chelsea FC|premier-league| 2028|22|22|0.00|0|0|3|0
387.html|weston-mckennie|24|1.85|droit|États-Unis|Milieu central|Leeds United|premier-league| 2023|21|25|26.25 |0|0|41|9
112.html|tammy-abraham|25|1.94|droit|Angleterre|Avant-centre|AS Roma|serie-a| 2026|45|50|40.00 |0|1|11|3
